show_id,season_number
"s1332","1"
"s1333","1"
"s1333","2"
"s1334","1"
"s1335","1"
"s1336","1"
"s1336","2"
"s1336","3"
"s1337","1"
"s1338","1"
"s1339","1"
"s1339","2"
"s1340","1"
"s1341","1"
"s1342","1"
"s1343","1"
"s1344","1"
"s1345","1"
"s1346","1"
"s1347","1"
"s1348","1"
"s1349","1"
"s1350","1"
"s1351","1"
"s1351","2"
"s1352","1"
"s1353","1"
"s1353","2"
"s1354","1"
"s1355","1"
"s1355","2"
"s1355","3"
"s1355","4"
"s1355","5"
"s1355","6"
"s1355","7"
"s1355","8"
"s1355","9"
"s1355","10"
"s1355","11"
"s1355","12"
"s1355","13"
"s1356","1"
"s1357","1"
"s1358","1"
"s1359","1"
"s1360","1"
"s1361","1"
"s1362","1"
"s1363","1"
"s1363","2"
"s1363","3"
"s1363","4"
"s1363","5"
"s1363","6"
"s1363","7"
"s1364","1"
"s1364","2"
"s1365","1"
"s1366","1"
"s1366","2"
"s1367","1"
"s1368","1"
"s1369","1"
"s1370","1"
"s1371","1"
"s1372","1"
"s1373","1"
"s1374","1"
"s1375","1"
"s1376","1"
"s1376","2"
"s1377","1"
"s1378","1"
"s1378","2"
"s1378","3"
"s1378","4"
"s1379","1"
"s1380","1"
"s1381","1"
"s1382","1"
"s1383","1"
"s1384","1"
"s1384","2"
"s1385","1"
"s1385","2"
"s1385","3"
"s1386","1"
"s1387","1"
"s1388","1"
"s1389","1"
"s1390","1"
"s1391","1"
"s1392","1"
"s1393","1"
"s1394","1"
"s1395","1"
"s1396","1"
"s1396","2"
"s1396","3"
"s1396","4"
"s1397","1"
"s1398","1"
"s1399","1"
"s1400","1"
"s1401","1"
"s1402","1"
"s1402","2"
"s1402","3"
"s1402","4"
"s1403","1"
"s1403","2"
"s1403","3"
"s1404","1"
"s1405","1"
"s1405","2"
"s1405","3"
"s1406","1"
"s1407","1"
"s1408","1"
"s1409","1"
"s1409","2"
"s1409","3"
"s1409","4"
"s1409","5"
"s1410","1"
"s1411","1"
"s1412","1"
"s1413","1"
"s1414","1"
"s1415","1"
"s1416","1"
"s1417","1"
"s1418","1"
"s1419","1"
"s1420","1"
"s1420","2"
"s1420","3"
"s1420","4"
"s1421","1"
"s1422","1"
"s1423","1"
"s1424","1"
"s1425","1"
"s1426","1"
"s1427","1"
"s1428","1"
"s1428","2"
"s1428","3"
"s1428","4"
"s1428","5"
"s1429","1"
"s1430","1"
"s1431","1"
"s1432","1"
"s1433","1"
"s1433","2"
"s1434","1"
"s1435","1"
"s1436","1"
"s1437","1"
"s1438","1"
